System	Time	Event	Tn	
1	9.197	1	0	
1	14.761	1	9.197	
1	19.246	1	14.761	
1	24.597	1	19.246	
1	25.302	1	24.597	
1	30.948	1	25.302	
1	31.602	1	30.948	
1	34.574	1	31.602	
1	41.059	1	34.574	
1	44.114	1	41.059	
1	44.279	1	44.114	
1	46.381	1	44.279	
1	54.519	1	46.381	
1	56.355	1	54.519	
1	74.44	1	56.355	
1	77.236	1	74.44	
1	80.261	1	77.236	
1	82.815	1	80.261	
1	84.772	1	82.815	
1	88.901	1	84.772	
1	93.727	1	88.901	
1	98.149	1	93.727	
1	106.429	1	98.149	
1	106.429	0	106.429	
2	3.073	1	0	
2	4.685	1	3.073	
2	5.125	1	4.685	
2	10.867	1	5.125	
2	11.199	1	10.867	
2	12.046	1	11.199	
2	20.275	1	12.046	
2	21.721	1	20.275	
2	24.944	1	21.721	
2	32.604	1	24.944	
2	34.43	1	32.604	
2	36.343	1	34.43	
2	36.899	1	36.343	
2	49.009	1	36.899	
2	49.27	1	49.009	
2	51.357	1	49.27	
2	53.56	1	51.357	
2	57.321	1	53.56	
2	58.775	1	57.321	
2	62.879	1	58.775	
2	65.651	1	62.879	
2	68.605	1	65.651	
2	71.925	1	68.605	
2	72.362	1	71.925	
2	80.282	1	72.362	
2	89.826	1	80.282	
2	89.911	1	89.826	
2	91.807	1	89.911	
2	96.57	1	91.807	
2	97.373	1	96.57	
2	99.731	1	97.373	
2	103.386	1	99.731	
2	103.386	0	103.386	
3	3.814	1	0	
3	18.336	1	3.814	
3	20.887	1	18.336	
3	24.792	1	20.887	
3	28.197	1	24.792	
3	30.747	1	28.197	
3	35.269	1	30.747	
3	39.679	1	35.269	
3	43.93	1	39.679	
3	44.995	1	43.93	
3	54.552	1	44.995	
3	58.139	1	54.552	
3	63.358	1	58.139	
3	63.816	1	63.358	
3	65.727	1	63.816	
3	69.452	1	65.727	
3	75.205	1	69.452	
3	75.401	1	75.205	
3	82.888	1	75.401	
3	83.607	1	82.888	
3	93.903	1	83.607	
3	102.791	1	93.903	
3	103.602	1	102.791	
3	103.602	0	103.602	
4	3.108	1	0	
4	11.976	1	3.108	
4	14.593	1	11.976	
4	23.326	1	14.593	
4	24.15	1	23.326	
4	25.627	1	24.15	
4	34.732	1	25.627	
4	36.546	1	34.732	
4	37.267	1	36.546	
4	42.407	1	37.267	
4	46.347	1	42.407	
4	48.593	1	46.347	
4	49.13	1	48.593	
4	52.783	1	49.13	
4	56.483	1	52.783	
4	63.891	1	56.483	
4	71.913	1	63.891	
4	72.627	1	71.913	
4	73.248	1	72.627	
4	77.949	1	73.248	
4	80.195	1	77.949	
4	81.409	1	80.195	
4	87.642	1	81.409	
4	87.782	1	87.642	
4	87.82	1	87.782	
4	91.752	1	87.82	
4	101.995	1	91.752	
4	104.54	1	101.995	
4	104.54	0	104.54	
5	3.346	1	0	
5	8.527	1	3.346	
5	10.942	1	8.527	
5	22.723	1	10.942	
5	25.885	1	22.723	
5	27.479	1	25.885	
5	32.869	1	27.479	
5	33.975	1	32.869	
5	35.194	1	33.975	
5	37.683	1	35.194	
5	50.615	1	37.683	
5	53.079	1	50.615	
5	54.31	1	53.079	
5	56.651	1	54.31	
5	62.984	1	56.651	
5	64.305	1	62.984	
5	67.309	1	64.305	
5	77.525	1	67.309	
5	85.587	1	77.525	
5	87.362	1	85.587	
5	91.461	1	87.362	
5	92.839	1	91.461	
5	99.475	1	92.839	
5	99.475	0	99.475	
